Log file created at: 2024/07/03 06:16:27
Running on machine: ip-172-31-39-243
Binary: Built with gc go1.22.1 for linux/amd64
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0703 06:16:27.594663    9858 out.go:291] Setting OutFile to fd 1 ...
I0703 06:16:27.757379    9858 info.go:266] docker info: {ID:104ee040-c465-445e-bd85-1f1484bb3ecc Containers:2 ContainersRunning:1 ContainersPaused:0 ContainersStopped:1 Images:2 Driver:overlay2 DriverStatus:[[Backing Filesystem extfs] [Supports d_type true] [Using metacopy false] [Native Overlay Diff true] [userxattr false]] SystemStatus:<nil> Plugins:{Volume:[local] Network:[bridge host ipvlan macvlan null overlay] Authorization:<nil> Log:[awslogs fluentd gcplogs gelf journald json-file local splunk syslog]} MemoryLimit:true SwapLimit:true KernelMemory:false KernelMemoryTCP:false CPUCfsPeriod:true CPUCfsQuota:true CPUShares:true CPUSet:true PidsLimit:true IPv4Forwarding:true BridgeNfIptables:true BridgeNfIP6Tables:true Debug:false NFd:31 OomKillDisable:false NGoroutines:51 SystemTime:2024-07-03 06:16:27.745687759 +0000 UTC LoggingDriver:json-file CgroupDriver:systemd NEventsListener:0 KernelVersion:6.8.0-1008-aws OperatingSystem:Ubuntu 24.04 LTS OSType:linux Architecture:x86_64 IndexServerAddress:https://index.docker.io/v1/ RegistryConfig:{AllowNondistributableArtifactsCIDRs:[] AllowNondistributableArtifactsHostnames:[] InsecureRegistryCIDRs:[127.0.0.0/8] IndexConfigs:{DockerIo:{Name:docker.io Mirrors:[] Secure:true Official:true}} Mirrors:[]} NCPU:2 MemTotal:4023320576 GenericResources:<nil> DockerRootDir:/var/lib/docker HTTPProxy: HTTPSProxy: NoProxy: Name:ip-172-31-39-243 Labels:[] ExperimentalBuild:false ServerVersion:27.0.3 ClusterStore: ClusterAdvertise: Runtimes:{Runc:{Path:runc}} DefaultRuntime:runc Swarm:{NodeID: NodeAddr: LocalNodeState:inactive ControlAvailable:false Error: RemoteManagers:<nil>} LiveRestoreEnabled:false Isolation: InitBinary:docker-init ContainerdCommit:{ID:ae71819c4f5e67bb4d5ae76a6b735f29cc25774e Expected:ae71819c4f5e67bb4d5ae76a6b735f29cc25774e} RuncCommit:{ID:v1.1.13-0-g58aa920 Expected:v1.1.13-0-g58aa920} InitCommit:{ID:de40ad0 Expected:de40ad0} SecurityOptions:[name=apparmor name=seccomp,profile=builtin name=cgroupns] ProductLicense: Warnings:<nil> ServerErrors:[] ClientInfo:{Debug:false Plugins:[map[Name:buildx Path:/usr/libexec/docker/cli-plugins/docker-buildx SchemaVersion:0.1.0 ShortDescription:Docker Buildx Vendor:Docker Inc. Version:v0.15.1] map[Name:compose Path:/usr/libexec/docker/cli-plugins/docker-compose SchemaVersion:0.1.0 ShortDescription:Docker Compose Vendor:Docker Inc. Version:v2.28.1]] Warnings:<nil>}}
I0703 06:16:27.757485    9858 docker.go:295] overlay module found
I0703 06:16:27.757512    9858 global.go:133] docker default: true priority: 9, state: {Installed:true Healthy:true Running:false NeedsImprovement:false Error:<nil> Reason: Fix: Doc: Version:}
I0703 06:16:27.757611    9858 global.go:133] none default: false priority: 4, state: {Installed:true Healthy:true Running:false NeedsImprovement:false Error:<nil> Reason: Fix: Doc: Version:}
I0703 06:16:27.757676    9858 global.go:133] podman default: true priority: 7, state: {Installed:false Healthy:false Running:false NeedsImprovement:false Error:exec: "podman": executable file not found in $PATH Reason: Fix:Install Podman Doc:https://minikube.sigs.k8s.io/docs/drivers/podman/ Version:}
I0703 06:16:27.757784    9858 global.go:133] ssh default: false priority: 4, state: {Installed:true Healthy:true Running:false NeedsImprovement:false Error:<nil> Reason: Fix: Doc: Version:}
I0703 06:16:27.757845    9858 global.go:133] kvm2 default: true priority: 8, state: {Installed:false Healthy:false Running:false NeedsImprovement:false Error:exec: "virsh": executable file not found in $PATH Reason: Fix:Install libvirt Doc:https://minikube.sigs.k8s.io/docs/reference/drivers/kvm2/ Version:}
I0703 06:16:27.757892    9858 global.go:133] qemu2 default: true priority: 7, state: {Installed:false Healthy:false Running:false NeedsImprovement:false Error:exec: "qemu-system-x86_64": executable file not found in $PATH Reason: Fix:Install qemu-system Doc:https://minikube.sigs.k8s.io/docs/reference/drivers/qemu/ Version:}
I0703 06:16:27.757917    9858 driver.go:314] not recommending "none" due to default: false
I0703 06:16:27.757921    9858 driver.go:314] not recommending "ssh" due to default: false
I0703 06:16:27.757937    9858 driver.go:349] Picked: docker
I0703 06:16:27.757942    9858 driver.go:350] Alternatives: [none ssh]
I0703 06:16:27.757948    9858 driver.go:351] Rejects: [virtualbox vmware podman kvm2 qemu2]
I0703 06:16:27.762236    9858 out.go:177] * Automatically selected the docker driver. Other choices: none, ssh
I0703 06:16:27.764024    9858 start.go:297] selected driver: docker
I0703 06:16:27.764032    9858 start.go:901] validating driver "docker" against <nil>
I0703 06:16:27.764054    9858 start.go:912] status for docker: {Installed:true Healthy:true Running:false NeedsImprovement:false Error:<nil> Reason: Fix: Doc: Version:}
W0703 06:16:27.764143    9858 out.go:239] * The "docker" driver should not be used with root privileges. If you wish to continue as root, use --force.
W0703 06:16:27.764163    9858 out.go:239] * If you are running minikube within a VM, consider using --driver=none:
W0703 06:16:27.764200    9858 out.go:239] *   https://minikube.sigs.k8s.io/docs/reference/drivers/none/
I0703 06:16:27.766402    9858 out.go:177] 
W0703 06:16:27.769059    9858 out.go:239] X Exiting due to DRV_AS_ROOT: The "docker" driver should not be used with root privileges.
I0703 06:16:27.771084    9858 out.go:177] 
